tweet_id,favorites,retweets,timestamp
840761248237133825,0,1614,Sun Mar 12 03:07:56 +0000 2017
840728873075638272,0,14519,Sun Mar 12 00:59:17 +0000 2017
840698636975636481,163,2,Sat Mar 11 22:59:09 +0000 2017
840696689258311684,11413,888,Sat Mar 11 22:51:24 +0000 2017
840632337062862849,8383,1614,Sat Mar 11 18:35:42 +0000 2017
840370681858686976,15268,4163,Sat Mar 11 01:15:58 +0000 2017
840268004936019968,17786,5182,Fri Mar 10 18:27:58 +0000 2017
839990271299457024,12476,2059,Fri Mar 10 00:04:21 +0000 2017
839549326359670784,25444,7025,Wed Mar 08 18:52:12 +0000 2017
839290600511926273,0,132,Wed Mar 08 01:44:07 +0000 2017
839239871831150596,25080,5895,Tue Mar 07 22:22:32 +0000 2017
838952994649550848,18272,3647,Tue Mar 07 03:22:35 +0000 2017
838921590096166913,10369,1848,Tue Mar 07 01:17:48 +0000 2017
838916489579200512,0,31,Tue Mar 07 00:57:32 +0000 2017
838831947270979586,0,9967,Mon Mar 06 19:21:35 +0000 2017
838561493054533637,10200,1226,Mon Mar 06 01:26:54 +0000 2017
838476387338051585,20861,4321,Sun Mar 05 19:48:43 +0000 2017
838201503651401729,0,9128,Sun Mar 05 01:36:26 +0000 2017
838150277551247360,1561,300,Sat Mar 04 22:12:52 +0000 2017
838085839343206401,133,1,Sat Mar 04 17:56:49 +0000 2017
838083903487373313,16374,2826,Sat Mar 04 17:49:08 +0000 2017
837820167694528512,31676,7120,Sat Mar 04 00:21:08 +0000 2017
837482249356513284,3585,403,Fri Mar 03 01:58:22 +0000 2017
837471256429613056,11932,2056,Fri Mar 03 01:14:41 +0000 2017
837110210464448512,15003,2171,Thu Mar 02 01:20:01 +0000 2017
836989968035819520,11881,2103,Wed Mar 01 17:22:13 +0000 2017
836753516572119041,18024,4242,Wed Mar 01 01:42:39 +0000 2017
836677758902222849,11778,2014,Tue Feb 28 20:41:37 +0000 2017
836648853927522308,0,505,Tue Feb 28 18:46:45 +0000 2017
836397794269200385,0,24916,Tue Feb 28 02:09:08 +0000 2017
836380477523124226,13841,2737,Tue Feb 28 01:00:19 +0000 2017
836260088725786625,19838,3962,Mon Feb 27 17:01:56 +0000 2017
836001077879255040,17781,3866,Sun Feb 26 23:52:43 +0000 2017
835685285446955009,0,7377,Sun Feb 26 02:57:52 +0000 2017
835574547218894849,16561,3279,Sat Feb 25 19:37:50 +0000 2017
